dr7objid,ra,dec,length_avg,length_stdev,width_avg,width_stdev,length_scaled,bar_meas,gz2id,kind,z,abs_mag,color(g-r),galaxyid,mass,Mr,Redshift
587736542553768045,212.14074,9.0379438,7.5879943,0.97119525,2.1714541,0.60855165,0.85681004,3,7121.0,low S/N SF,0.0245076,-19.9459915,0.9087967,368190.0,10.264885000000001,-20.716875,0.0245076
587736542554554589,213.92106,8.888446,7.6849,1.5785175,1.9301426,0.601775,0.47074515,5,11294.0,AGN non-Liner,0.029419599999999997,-20.0414925,0.9096684000000002,368227.0,10.305202,-20.820908,0.029419599999999997
587736542554751172,214.33893,8.894183,9.2331902,0.98818475,2.2586207000000003,1.1085125,0.31455732,4,16625.0,Composite,0.05849310000000001,-21.2403812,0.5634581999999999,368238.0,10.543556,-22.145382,0.058493100000000006
587736542559994173,226.44122,7.6707813,6.0587258,4.1511612,0.95443236,0.36067518,0.51125881,3,108834.0,SF,0.037933800000000004,-18.9075203,0.5042175999999999,368436.0,9.538383,-19.780107,0.037933800000000004
587736542561304718,229.44728,7.2182791,12.471764,2.2412216,2.2635235,0.50744269,0.44778241,3,2717.0,Unclassifiable,0.0337913,-21.181991600000003,0.8816934000000001,368577.0,10.73697,-22.064435999999997,0.0337913
587736542561304781,229.34031,7.3460696,5.8522849,3.2606623,1.6794,1.6307979,0.22299246,3,17093.0,Composite,0.0459619,-20.6768665,0.5630354000000001,368578.0,10.318724000000001,-21.576948,0.0459619
587736542565564537,239.13149,6.0481394,6.6150366,1.6479778000000005,1.1763489,0.28900615,0.34682426,4,43878.0,SF,0.0452131,-19.9677792,0.5342121999999999,368795.0,10.011353999999999,-20.891726000000002,0.0452131
587736543089590369,209.79111,9.6949229,11.014071,2.6666522,2.7266312000000004,1.3195166,0.55952085,5,35337.0,Composite,0.0556991,-20.664793,0.7939056,369129.0,10.503538,-21.487917000000003,0.0556991
587736543093522495,218.72991,8.8534577,12.970287,1.0372833,3.7284139,1.5491771,0.39571511,5,8707.0,Unclassifiable,0.053206500000000004,-21.5267963,0.9770726,369330.0,11.002549,-22.344685000000002,0.053206500000000004
587736543094309099,220.55736,8.6766767,9.4593065,0.37072722,2.0877304,0.58795072,0.43329421,5,6779.0,Composite,0.034134,-20.6123867,0.8428007,369367.0,10.48669,-21.493095,0.034134
587736543096602911,225.84279,8.067380900000002,15.282684,0.5505668,1.9103352,0.068820358,0.47123067,3,15889.0,Low S/N Liner,0.055762099999999995,-21.141037,0.7097216,369486.0,10.637919,-22.058239999999998,0.055762099999999995
