NAME2,I,type,other
J143031.19+524225.8,0.09549340263393892,1,
J100504.46+033734.9,0.09434997903236547,f,
J154835.17+424146.7,0.3255167582635342,2,
J114959.98+041726.4,0.0782080846923369,2,
J133707.32+020754.8,0.09005769875346507,c,
J090432.91+581719.8,0.17643432857468455,f,
J015612.53+145423.9,0.11866191761550685,1,
J155525.74+504810.8,0.10073288263661494,f,
J003843.06+003451.7,0.13589257796047507,1,d
J115704.84+524903.7,0.13932594461501374,1,
J221148.27-003500.2,0.23516244272287795,1,
J131226.68-022724.5,0.1207666646368618,d,
J161624.64+515659.1,0.08862128991469025,f,
J143408.12+590921.7,0.06599008438295674,f,
J130911.26+461858.4,0.0583594397037445,c,
J094830.01+553822.7,0.11922717997777453,b,
J235951.73-092633.6,0.09873722361886894,b,
J111118.74+102020.2,0.11533748696819147,d,
J125027.42+001345.6,0.0880268789299326,f,
J090312.97+093708.4,0.09371227486064414,d,
J131659.79+053924.4,0.13063456720501115,2,
J165922.66+204947.5,0.1411542082245923,e,
J002537.70+000212.2,0.09166147417352816,f,
J100447.30+573605.9,0.12417855833547548,1,
J012012.10+143340.6,0.12480890857683352,1,3
J210224.28+101028.9,0.18201313848974585,2,3
J203907.03+003316.4,0.10441899858375292,1,
J101806.67+000559.8,0.14638860765209466,f,
J163215.40-000259.7,0.1141618276737314,d,
J075217.06+254008.7,0.11005883561493274,f,
J010957.04-004212.7,0.13753483311143685,f,
J160229.84+334735.0,0.10191271720959767,b,
J084805.78+542616.1,0.1048431675419427,d,
J112640.67-014137.7,0.0783280371697269,f,
J100135.81+033647.8,0.14242062010051806,e,1
J115753.46+415613.8,0.09081868458031063,1,
J133612.18+044424.3,0.047971270494443816,a,
J114840.43-001710.3,0.10734264399298486,3,
J083708.45+450953.8,0.19812781033943205,1,
J080303.46+274438.4,0.13883706130931933,1,
J113619.29-025050.7,0.10322415507031793,2,
J100604.28+534253.5,0.12894614041539929,3,4
J151605.52+600000.5,0.14436111807978882,3,
J081225.47+374348.8,0.06797264115191473,a,
J144308.20+611914.4,0.13858609932282098,2,
J011654.72-102202.7,0.09614411899840644,f,
J170001.67+384857.6,0.11710262095695165,1,
J155346.40+544427.8,0.11110170042108747,d,
J135228.16+015642.1,0.1075369984545259,b,
J121758.45+411734.5,0.09524701481297798,e,
J112800.49+110929.8,0.14095522903911115,d,
J121836.48+512452.9,0.15293712742790855,2,
J234152.63-083853.4,0.12929267365905162,d,
J165744.13+192207.2,0.09130059896283647,f,
J010716.63-003837.3,0.0447780542396112,b,
J093952.36+053236.3,0.08158022138519715,b,
J113703.30+060505.4,0.2944089869409535,c,
J123554.53+052021.3,0.12321010252134125,f,
J110134.20+013509.9,0.11658677839778812,2,
J142410.99-004044.1,0.1026072267270966,d,f
J075416.45+200136.3,0.10681831439077433,d,
J140836.94+032522.7,0.1208070698619904,d,
J081455.56+503945.6,0.10520924136917872,2,
J095058.70+375758.9,0.16140981110818856,2,
J162656.91+352760.0,0.118665918149672,1,
J091659.97+092648.6,0.15879329579923754,3,
J081616.93+255827.9,0.06640517367540562,a,
J085221.86+375108.3,0.1497918867982946,b,
J113003.58+571829.4,0.1464956790726618,d,
J115621.42+443155.2,0.14976005976630474,2,
J155036.38+512352.9,0.06686402159569653,d,
J022938.59+002313.7,0.09751092574246263,1,
J142507.50+360326.7,0.10623931420846458,f,
J113659.25+563536.6,0.12928665770238754,2,
J103216.26+533842.2,0.1109804928559426,d,
J083904.17+502645.8,0.07580777291599017,d,
J114857.77+112718.4,0.09606315148415813,b,
J141507.75+544805.5,0.11949502343489872,3,
J004922.37-091737.0,0.09032072870627217,b,
J122307.59+633005.1,0.18264365826286705,4,
J151157.74+364706.1,0.19962819605616725,3,
J155329.28+525132.1,0.10582477695982326,f,
J160933.75-002510.8,0.190467996132766,c,
J204907.49+010838.6,0.06535039031568328,c,
J083714.91+044145.2,0.12756302719605475,1,
J022243.58-084308.3,0.09671387400374787,d,
J111634.53+584632.3,0.056984436708566975,b,
J154326.50-005523.8,0.12173694613707005,f,
J091846.54+581505.3,0.08487809144645365,b,
J135247.63+574418.4,0.1545634675615339,a,
J083253.65+474007.6,0.11616116464078485,f,
