galaxyid,kind,ra,dec,z,app_mag,petro_abs_mag,central,lum_oiii,gz2id,gz2class
272035,type2,149.55248999999995,11.109869999999999,0.027308799999999998,15.535869412162096,-19.074789000000006,1,39.14212180153579,36409.0,Ei
272038,type2,149.52946,11.228552,0.024369799999999997,15.635228650637842,-18.723415399999997,1,38.85706833016333,40646.0,Sb
271380,type2,149.79901,11.042561,0.10681500000000001,16.580885974636164,-21.1128349,1,40.01421774791629,122850.0,Sc
263569,type2,149.78663,10.29161,0.06125650000000001,15.68519018957256,-20.7332592,1,40.0238252368422,38119.0,SBc2m
271006,type2,150.52813999999995,10.611146000000002,0.0841998,16.452951382436126,-20.6910229,1,39.63935464386316,104712.0,Sc
263602,type2,150.81207,10.494496,0.060299,17.455644426785632,-18.927120199999997,1,40.366469183226116,,
272065,type2,150.62104,11.397329,0.13634300000000002,17.19646786844233,-21.068967800000006,1,40.18041625222861,,
271017,type2,151.03703000000004,10.7859,0.0779058,16.85899058366522,-20.106863,1,39.78919687681528,203422.0,Ei
263620,type2,151.55596,10.648792,0.1369,16.371069286874043,-21.9039898,1,40.54009769912841,88758.0,SBc2l(m)
270483,type2,151.3854,10.300147,0.0605325,15.966309776071,-20.4252071,1,39.883413500799676,64555.0,Sb
269335,type2,152.39154,9.711238,0.0615865,16.994390295876464,-19.4362335,1,39.97026348621402,216854.0,Sb?m
269331,type2,152.06761,9.604521,0.027179500000000002,15.54559341111991,-19.054550199999998,1,39.479582925009844,37315.0,Er
262282,type2,151.83031,9.8724641,0.057303,15.276228990043787,-20.9912453,1,39.99737813928039,24428.0,Sb?m(m)
269329,type2,151.91844,9.6056685,0.0689336,16.740270353233743,-19.9463215,1,39.65715753684365,175685.0,Sc
269848,type2,151.59618999999995,9.9008487,0.0604519,16.338252235042845,-20.050247199999998,1,40.33121664818354,105472.0,Er
269317,type2,151.56125,9.5925235,0.07558580000000001,17.155198021932257,-19.741516100000002,1,40.30860220952585,,
269825,type2,150.41862,9.908765800000001,0.056356399999999994,15.759031658417705,-20.4708061,0,40.662252718469226,82203.0,Ei
269304,type2,150.86944,9.358996699999999,0.0762639,16.783010835330884,-20.134119000000002,1,39.56524321946578,185106.0,Sb
269301,type2,150.64055,9.442544400000001,0.113646,16.898513148728053,-20.939621,1,40.32884337279538,211351.0,Er
269823,type2,150.29815,9.856956199999999,0.11503499999999996,17.834612127867263,-20.0318832,1,40.044849643978615,,
272080,type2,151.25881,11.413411,0.125392,16.61779978474501,-21.450552,1,40.21211698622168,132002.0,Sc2m
271429,type2,151.72685,11.297247,0.16344,16.688819405094716,-22.0070419,1,40.73092316499026,152955.0,Ei
271414,type2,151.45927,11.169183,0.0787836,16.555613498951928,-20.4358883,1,39.64126445274534,138072.0,Sb2m
271029,type2,151.34793,10.77575,0.164412,17.469844992773787,-21.2401867,0,40.965914166149176,,
271023,type2,151.28447,10.681866000000001,0.153804,17.352456893067178,-21.198522600000004,1,41.717905727496316,,
271038,type2,151.55844,10.869575,0.060702699999999984,16.78677680997392,-19.611099199999998,1,39.53767499632367,167014.0,Er
272109,type2,152.21375,11.525744,0.194306,17.784875188237226,-21.3269062,1,40.38663026251547,,
272110,type2,152.22758000000005,11.551248,0.0706324,15.928749557385256,-20.8132896,1,39.653640091556134,59898.0,Ei
285180,type2,174.77979,56.302877,0.159585,17.671797276924025,-20.9670811,1,40.25869009974349,,
284955,type2,173.72911000000005,55.895191000000004,0.061363199999999986,15.85146596873208,-20.570926699999998,0,39.377548755245925,53311.0,Sb
285170,type2,173.55053,56.14805,0.05831910000000001,16.32330331491161,-19.9839096,1,39.24030352395077,104855.0,Sb(r)
183834,type2,174.24686,56.59349399999999,0.0508194,15.297267496245976,-20.6993866,1,39.776118222163895,24357.0,Ser
285368,type2,172.2388,56.523729,0.0512568,15.123643445663578,-20.8923035,1,39.66442348361025,19404.0,SBb
173195,type2,171.0417,56.753558,0.09929980000000001,16.47733278393407,-21.0470734,1,40.11691481558593,102994.0,SBb2m
299387,type2,171.00099999999995,57.18805699999999,0.179647,17.58484301506824,-21.337688399999998,1,40.99294570599045,,
184799,type2,171.86845,57.501406,0.10731199999999999,17.12995166669889,-20.5745659,1,39.947128371234854,,
184455,type2,171.66047,57.076443999999995,0.0485711,16.164050922250148,-19.7308273,1,39.34414178596999,75358.0,Sc?t
185119,type2,172.9374,58.13685699999999,0.113124,17.048227898239826,-20.779163399999998,1,40.29320357301821,225382.0,Ec
285556,type2,172.239,57.02455500000001,0.06235930000000001,15.937976194655914,-20.5209141,1,40.25826411652992,52787.0,Sb1t
121580,type2,173.55286999999996,58.26215300000001,0.121966,16.600121867629234,-21.4032497,1,41.190788287686296,124720.0,Sb
285568,type2,172.69299999999996,57.09981,0.0670983,16.243472483610226,-20.3817253,1,39.549298370134906,81933.0,Ei
184478,type2,173.09337,57.254870999999994,0.0288205,15.172982136705748,-19.5571117,1,39.249640864301746,19256.0,Sc2m
285870,type2,174.06975,57.964313,0.0836938,17.038199378372898,-20.0919323,1,39.77391016142069,,
299449,type2,174.70921,57.506326,0.0662545,15.177039041721232,-21.4193897,1,39.72159262491857,18619.0,Sc2m
299450,type2,174.70575,57.531904000000004,0.0661946,15.415719430226693,-21.178653699999998,0,39.74085145219213,26096.0,SBb2l
285614,type2,175.11445,57.127331999999996,0.09211439999999999,17.27384486957079,-20.076931,1,39.779073707964734,,
285617,type2,175.56368999999995,57.275622,0.011310299999999999,14.628711387346456,-18.0416374,1,38.33800910812171,9970.0,Ec
184182,type2,175.43305,57.02855699999999,0.0798512,16.613095758361133,-20.409235,0,39.54949292997718,148516.0,Sb
184850,type2,175.39019,57.774761,0.156449,17.433913490033603,-21.1576576,1,40.26651456117803,,
285093,type2,183.37767,56.289118,0.0949611,16.638943547146848,-20.7821064,1,40.9635796741864,135896.0,Sb
183595,type2,183.37442,56.569778,0.052629499999999996,16.618138302500856,-19.4573383,0,39.436243694078435,150552.0,Sb
183577,type2,182.40967,56.546645999999996,0.0631121,17.220569838785007,-19.2655334,0,39.321432187071295,,
285331,type2,183.72191,56.817372999999996,0.10623099999999999,16.112488167477974,-21.5684853,1,40.412601950584225,74990.0,Ser
183571,type2,182.29793,56.595907999999994,0.0654828,16.651071001462103,-19.918737399999998,0,39.77398417074564,137600.0,Sb
183548,type2,181.68171999999998,56.543076,0.030792200000000002,14.791808102869705,-20.0851574,1,39.27717756690129,11258.0,Sc2l
183953,type2,182.49183,56.965727,0.0630124,16.980853968743027,-19.5016632,1,39.46332237932922,210947.0,Sb
285298,type2,182.46683000000002,56.742114,0.0522359,17.53808886108571,-18.520473499999998,0,39.53481559974071,120993.0,Sb2m(m)
285302,type2,182.48531,56.78051,0.09459769999999999,16.001315798453582,-21.4108753,1,39.992706260860686,65637.0,Ei
285291,type2,181.88304,56.803920999999995,0.052999,17.018307310974837,-19.072937,1,39.55673509158329,221491.0,Ei
285077,type2,180.61654,56.24739,0.06575310000000001,17.185812296700767,-19.3933544,0,39.374117499729316,,
