z,Mr,fraction,feature,root
0.14,-18.5,0.031874569262577535,,whole
0.14,-18.5,0.2833078101071976,,bar
0.14,-19.0,0.031874569262577535,,whole
0.14,-19.0,0.2833078101071976,,bar
0.14,-19.5,0.031874569262577535,,whole
0.14,-19.5,0.2833078101071976,,bar
0.14,-20.0,0.031874569262577535,,whole
0.14,-20.0,0.2833078101071976,,bar
0.14,-20.5,0.031874569262577535,,whole
0.14,-20.5,0.2833078101071976,,bar
0.14,-21.0,0.031874569262577535,,whole
0.14,-21.0,0.2833078101071976,,bar
0.15000000000000002,-18.5,0.03686856595642806,,whole
0.15000000000000002,-18.5,0.29615384615384616,,bar
0.15000000000000002,-19.0,0.03686856595642806,,whole
0.15000000000000002,-19.0,0.29615384615384616,,bar
0.15000000000000002,-19.5,0.03686856595642806,,whole
0.15000000000000002,-19.5,0.29615384615384616,,bar
0.15000000000000002,-20.0,0.03686856595642806,,whole
0.15000000000000002,-20.0,0.29615384615384616,,bar
0.15000000000000002,-20.5,0.03686856595642806,,whole
0.15000000000000002,-20.5,0.29615384615384616,,bar
0.15000000000000002,-21.0,0.03686856595642806,,whole
0.15000000000000002,-21.0,0.29615384615384616,,bar
0.16,-18.5,0.03138860457181849,,whole
0.16,-18.5,0.2787878787878788,,bar
0.16,-19.0,0.03138860457181849,,whole
0.16,-19.0,0.2787878787878788,,bar
0.16,-19.5,0.03138860457181849,,whole
0.16,-19.5,0.2787878787878788,,bar
0.16,-20.0,0.03138860457181849,,whole
0.16,-20.0,0.2787878787878788,,bar
0.16,-20.5,0.03138860457181849,,whole
0.16,-20.5,0.2787878787878788,,bar
0.16,-21.0,0.03138860457181849,,whole
0.16,-21.0,0.2787878787878788,,bar
0.17,-18.5,0.02377555872563005,,whole
0.17,-18.5,0.273224043715847,,bar
0.17,-19.0,0.02377555872563005,,whole
0.17,-19.0,0.273224043715847,,bar
0.17,-19.5,0.02377555872563005,,whole
0.17,-19.5,0.273224043715847,,bar
0.17,-20.0,0.02377555872563005,,whole
0.17,-20.0,0.273224043715847,,bar
0.17,-20.5,0.02377555872563005,,whole
0.17,-20.5,0.273224043715847,,bar
0.17,-21.0,0.02377555872563005,,whole
0.17,-21.0,0.273224043715847,,bar
0.18000000000000002,-18.5,0.016483516483516484,,whole
0.18000000000000002,-18.5,0.2608695652173913,,bar
0.18000000000000002,-19.0,0.016483516483516484,,whole
0.18000000000000002,-19.0,0.2608695652173913,,bar
0.18000000000000002,-19.5,0.016483516483516484,,whole
0.18000000000000002,-19.5,0.2608695652173913,,bar
0.18000000000000002,-20.0,0.016483516483516484,,whole
0.18000000000000002,-20.0,0.2608695652173913,,bar
0.18000000000000002,-20.5,0.016483516483516484,,whole
0.18000000000000002,-20.5,0.2608695652173913,,bar
0.18000000000000002,-21.0,0.016483516483516484,,whole
0.18000000000000002,-21.0,0.2608695652173913,,bar
0.19,-18.5,0.018306636155606407,,whole
0.19,-18.5,0.32,,bar
0.19,-19.0,0.018306636155606407,,whole
0.19,-19.0,0.32,,bar
0.19,-19.5,0.018306636155606407,,whole
0.19,-19.5,0.32,,bar
0.19,-20.0,0.018306636155606407,,whole
0.19,-20.0,0.32,,bar
0.19,-20.5,0.018306636155606407,,whole
0.19,-20.5,0.32,,bar
0.19,-21.0,0.018306636155606407,,whole
0.19,-21.0,0.32,,bar
