  NAME                  SPEC             RA          DEC          Z          LOGF_5007   col1     col2      col3            col4            col5        col6         col7         col8        col9          col10       col11         col12       col13   Separation
  J110016.03+461615.2   53054-1436-495   165.0668    46.270893    0.031777   -13.89      287743   1171579   165.066832889   46.27092292     0.0313835   16.1202774   17.7200012   0.8909091   -18.7352695   0.5709564   -18.9094353   0.6280777   1       0.1352787829194462    
  J230920.26+004523.5   51811-0381-455   347.33443   0.756515     0.032279   -14.19      416723   1692188   347.334441271   0.756502419     0.0323993   13.7682257   17.6200008   0.9493671   -21.1443768   0.9008661   -21.1598797   0.9116941   1       0.06080642521998226   
  J161927.81+395832.3   52759-1172-346   244.86588   39.975635    0.03239    -15.18      249234   1014872   244.865862411   39.975645382    0.0323899   15.0725689   17.7200012   1.0         -19.8351669   0.9036487   -19.9947834   0.9277595   1       0.06124899672843437   
  J154744.15+412408.3   52468-1053-159   236.93394   41.4023      0.032609   -13.44      236923   981164    236.93394257    41.40229472     0.0326642   14.7353487   17.7200012   0.9184397   -20.294466    0.725795    -20.2332897   0.7135479   1       0.020235232673961465  
  J134952.84+020445.1   52026-0530-165   207.47018   2.079195     0.032847   -13.10      58741    283091    207.470172736   2.079190677     0.0328814   14.9587631   17.7200012   0.8682171   -20.0649109   0.6211346   -20.0353088   0.6172798   1       0.030416180242136423  
  J164045.62+431656.8   52083-0628-525   250.19009   43.282449    0.033153   -14.71      151649   583476    250.189944423   43.282376417    0.0332127   15.8030548   17.7200012   0.94        -19.270031    0.7562473   -19.2790508   0.7895343   1       0.4624220249065615    
  J112628.73+472453.8   53083-1441-619   171.61972   47.414958    0.03333    -14.34      261756   1069879   171.619705538   47.414955465    0.0329788   16.4983864   17.7200012   0.95        -18.564539    0.7535551   -18.5460243   0.7112882   1       0.03639312544464703   
  J075525.29+391109.9   52201-0544-344   118.85539   39.186094    0.033513   -13.68      97918    438539    118.85540117    39.186072457    0.0331647   14.3122873   17.7200012   0.8433735   -20.8040524   0.408012    -20.447031    0.5290028   1       0.08358352820927557   
  J162345.89+410456.4   52753-1171-076   245.94119   41.082333    0.033522   -13.12      248119   1011570   245.941195425   41.082336613    0.03419     15.2319679   17.7200012   0.9701493   -19.8228016   0.4189987   -19.8228016   0.4189987   3       0.019643985868191275  
  J110501.98+594103.6   52378-0950-406   166.25823   59.684343    0.033762   -13.77      125606   518154    166.258183117   59.6844158      0.0336921   14.4791508   17.7200012   0.8846154   -20.5280991   0.4098052   -20.4473896   0.4819926   1       0.2755790693449903    
  J011448.68-002946.1   51789-0398-261   18.702821   -0.496134    0.033828   -14.13      525640   2093575   18.70281        -0.496120877    0.0338434   13.8715162   17.6200008   1.0         -21.1377888   0.5719342   -21.0979271   0.6140885   1       0.06164352825647583   
  J164107.64+224924.8   53149-1570-377   250.28183   22.823568    0.033871   -13.80      408507   1447221   250.281827553   22.823565309    0.0340119   15.6967688   17.7200012   0.9921875   -19.4346218   0.7883994   -19.4615307   0.7843825   1       0.012640230244740189  
