NAME1     SPEC1    RA1      DEC1     Z1       LOGL1_5007    NAME2   SPEC2    RA2      DEC2     Z2     LOGL2_5007   
J082510.23+375919.8  52589-0893-628       126.29263       37.988820     0.021431000       40.416423     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
J082510.23+375919.8  52589-0893-628       126.29263       37.988820     0.021431000       40.416423     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
J082510.23+375919.8  52589-0893-628       126.29263       37.988820     0.021431000       40.416423     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
J082510.23+375919.8  52589-0893-628       126.29263       37.988820     0.021431000       40.416423     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
J093812.26+074340.1  52733-1196-639       144.55110       7.7277920     0.021895000       40.055331     J082854.33+343906.0  52668-1197-211       127.22636       34.651656     0.020921900       40.057304    
J093812.26+074340.1  52733-1196-639       144.55110       7.7277920     0.021895000       40.055331     J082854.33+343906.0  52668-1197-211       127.22636       34.651656     0.020921900       40.057304    
J093812.26+074340.1  52733-1196-639       144.55110       7.7277920     0.021895000       40.055331     J082854.33+343906.0  52668-1197-211       127.22636       34.651656     0.020921900       40.057304    
J093812.26+074340.1  52733-1196-639       144.55110       7.7277920     0.021895000       40.055331     J082854.33+343906.0  52668-1197-211       127.22636       34.651656     0.020921900       40.057304    
J093812.26+074340.1  52733-1196-639       144.55110       7.7277920     0.021895000       40.055331     J082854.33+343906.0  52668-1197-211       127.22636       34.651656     0.020921900       40.057304    
J133815.87+043233.3  52374-0853-111       204.56613       4.5425930     0.022975000       40.967855     J220316.00+003415.9  52173-0372-583       330.81665      0.57108500     0.030142200       40.524898    
J133815.87+043233.3  52374-0853-111       204.56613       4.5425930     0.022975000       40.967855     J220316.00+003415.9  52173-0372-583       330.81665      0.57108500     0.030142200       40.524898    
J133815.87+043233.3  52374-0853-111       204.56613       4.5425930     0.022975000       40.967855     J220316.00+003415.9  52173-0372-583       330.81665      0.57108500     0.030142200       40.524898    
J133815.87+043233.3  52374-0853-111       204.56613       4.5425930     0.022975000       40.967855     J220316.00+003415.9  52173-0372-583       330.81665      0.57108500     0.030142200       40.524898    
J133815.87+043233.3  52374-0853-111       204.56613       4.5425930     0.022975000       40.967855     J220316.00+003415.9  52173-0372-583       330.81665      0.57108500     0.030142200       40.524898    
J100207.04+030327.7  52235-0501-366       150.52933       3.0576860     0.023176000       40.305552     J034545.16-071526.9  51909-0462-011       56.438184      -7.2574630     0.021655100       40.310775    
J100207.04+030327.7  52235-0501-366       150.52933       3.0576860     0.023176000       40.305552     J034545.16-071526.9  51909-0462-011       56.438184      -7.2574630     0.021655100       40.310775    
J100207.04+030327.7  52235-0501-366       150.52933       3.0576860     0.023176000       40.305552     J034545.16-071526.9  51909-0462-011       56.438184      -7.2574630     0.021655100       40.310775    
J100207.04+030327.7  52235-0501-366       150.52933       3.0576860     0.023176000       40.305552     J034545.16-071526.9  51909-0462-011       56.438184      -7.2574630     0.021655100       40.310775    
J100207.04+030327.7  52235-0501-366       150.52933       3.0576860     0.023176000       40.305552     J034545.16-071526.9  51909-0462-011       56.438184      -7.2574630     0.021655100       40.310775    
J121754.98+583935.7  52791-1315-403       184.47907       58.659912     0.023253000       40.328483     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
J121754.98+583935.7  52791-1315-403       184.47907       58.659912     0.023253000       40.328483     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
J121754.98+583935.7  52791-1315-403       184.47907       58.659912     0.023253000       40.328483     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
J121754.98+583935.7  52791-1315-403       184.47907       58.659912     0.023253000       40.328483     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
J121754.98+583935.7  52791-1315-403       184.47907       58.659912     0.023253000       40.328483     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
J080740.99+390015.3  52254-0759-295       121.92081       39.004246     0.023496000       40.627671     J134640.80+522836.6  52465-1043-237       206.66998       52.476826     0.029230700       40.705021    
J080740.99+390015.3  52254-0759-295       121.92081       39.004246     0.023496000       40.627671     J134640.80+522836.6  52465-1043-237       206.66998       52.476826     0.029230700       40.705021    
J080740.99+390015.3  52254-0759-295       121.92081       39.004246     0.023496000       40.627671     J134640.80+522836.6  52465-1043-237       206.66998       52.476826     0.029230700       40.705021    
J080740.99+390015.3  52254-0759-295       121.92081       39.004246     0.023496000       40.627671     J134640.80+522836.6  52465-1043-237       206.66998       52.476826     0.029230700       40.705021    
J080740.99+390015.3  52254-0759-295       121.92081       39.004246     0.023496000       40.627671     J134640.80+522836.6  52465-1043-237       206.66998       52.476826     0.029230700       40.705021    
J122324.14+024044.4  52283-0519-487       185.85057       2.6790110     0.023579000       40.240788     J123804.16+482042.3  53084-1453-618       189.51734       48.345096     0.030505500       40.259642    
J122324.14+024044.4  52283-0519-487       185.85057       2.6790110     0.023579000       40.240788     J123804.16+482042.3  53084-1453-618       189.51734       48.345096     0.030505500       40.259642    
J122324.14+024044.4  52283-0519-487       185.85057       2.6790110     0.023579000       40.240788     J123804.16+482042.3  53084-1453-618       189.51734       48.345096     0.030505500       40.259642    
J122324.14+024044.4  52283-0519-487       185.85057       2.6790110     0.023579000       40.240788     J123804.16+482042.3  53084-1453-618       189.51734       48.345096     0.030505500       40.259642    
J122324.14+024044.4  52283-0519-487       185.85057       2.6790110     0.023579000       40.240788     J123804.16+482042.3  53084-1453-618       189.51734       48.345096     0.030505500       40.259642    
J130620.97+531823.2  52707-1039-044       196.58738       53.306444     0.023679000       39.094529     J131835.67+140248.5  53112-1773-159       199.64862       14.046799     0.028492400       39.092706    
J130620.97+531823.2  52707-1039-044       196.58738       53.306444     0.023679000       39.094529     J131835.67+140248.5  53112-1773-159       199.64862       14.046799     0.028492400       39.092706    
J130620.97+531823.2  52707-1039-044       196.58738       53.306444     0.023679000       39.094529     J131835.67+140248.5  53112-1773-159       199.64862       14.046799     0.028492400       39.092706    
J130620.97+531823.2  52707-1039-044       196.58738       53.306444     0.023679000       39.094529     J131835.67+140248.5  53112-1773-159       199.64862       14.046799     0.028492400       39.092706    
J130620.97+531823.2  52707-1039-044       196.58738       53.306444     0.023679000       39.094529     J131835.67+140248.5  53112-1773-159       199.64862       14.046799     0.028492400       39.092706    
J134632.13+642325.2  52079-0604-536       206.63389       64.390328     0.024094000       40.749889     J104833.59+475914.7  52643-0963-395       162.13996       47.987413     0.033214400       40.712279    
J134632.13+642325.2  52079-0604-536       206.63389       64.390328     0.024094000       40.749889     J104833.59+475914.7  52643-0963-395       162.13996       47.987413     0.033214400       40.712279    
J134632.13+642325.2  52079-0604-536       206.63389       64.390328     0.024094000       40.749889     J104833.59+475914.7  52643-0963-395       162.13996       47.987413     0.033214400       40.712279    
J134632.13+642325.2  52079-0604-536       206.63389       64.390328     0.024094000       40.749889     J104833.59+475914.7  52643-0963-395       162.13996       47.987413     0.033214400       40.712279    
J134632.13+642325.2  52079-0604-536       206.63389       64.390328     0.024094000       40.749889     J104833.59+475914.7  52643-0963-395       162.13996       47.987413     0.033214400       40.712279    
J115341.78+461242.3  53080-1446-129       178.42407       46.211737     0.024415000       40.171594     J093917.26+363343.9  52996-1275-021       144.82191       36.562197     0.019716500       40.171979    
J115341.78+461242.3  53080-1446-129       178.42407       46.211737     0.024415000       40.171594     J093917.26+363343.9  52996-1275-021       144.82191       36.562197     0.019716500       40.171979    
J115341.78+461242.3  53080-1446-129       178.42407       46.211737     0.024415000       40.171594     J093917.26+363343.9  52996-1275-021       144.82191       36.562197     0.019716500       40.171979    
J115341.78+461242.3  53080-1446-129       178.42407       46.211737     0.024415000       40.171594     J093917.26+363343.9  52996-1275-021       144.82191       36.562197     0.019716500       40.171979    
J115341.78+461242.3  53080-1446-129       178.42407       46.211737     0.024415000       40.171594     J093917.26+363343.9  52996-1275-021       144.82191       36.562197     0.019716500       40.171979    
J140040.57-015518.3  52443-0915-437       210.16903      -1.9217440     0.024997000       41.032434     J082443.29+295923.6  52672-1207-500       126.18036       29.989878     0.025324800       41.107800    
J140040.57-015518.3  52443-0915-437       210.16903      -1.9217440     0.024997000       41.032434     J082443.29+295923.6  52672-1207-500       126.18036       29.989878     0.025324800       41.107800    
J140040.57-015518.3  52443-0915-437       210.16903      -1.9217440     0.024997000       41.032434     J082443.29+295923.6  52672-1207-500       126.18036       29.989878     0.025324800       41.107800    
J140040.57-015518.3  52443-0915-437       210.16903      -1.9217440     0.024997000       41.032434     J082443.29+295923.6  52672-1207-500       126.18036       29.989878     0.025324800       41.107800    
J140040.57-015518.3  52443-0915-437       210.16903      -1.9217440     0.024997000       41.032434     J082443.29+295923.6  52672-1207-500       126.18036       29.989878     0.025324800       41.107800    
J092438.89+560747.0  51908-0451-145       141.16204       56.129720     0.025041000       40.043990     J141026.83-004956.6  51688-0302-004       212.61180     -0.83237970     0.025521700       40.014861    
J092438.89+560747.0  51908-0451-145       141.16204       56.129720     0.025041000       40.043990     J141026.83-004956.6  51688-0302-004       212.61180     -0.83237970     0.025521700       40.014861    
J092438.89+560747.0  51908-0451-145       141.16204       56.129720     0.025041000       40.043990     J141026.83-004956.6  51688-0302-004       212.61180     -0.83237970     0.025521700       40.014861    
J092438.89+560747.0  51908-0451-145       141.16204       56.129720     0.025041000       40.043990     J141026.83-004956.6  51688-0302-004       212.61180     -0.83237970     0.025521700       40.014861    
J092438.89+560747.0  51908-0451-145       141.16204       56.129720     0.025041000       40.043990     J141026.83-004956.6  51688-0302-004       212.61180     -0.83237970     0.025521700       40.014861    
J164721.48+444209.8  52051-0629-584       251.83948       44.702717     0.025651000       39.155291     J103443.72+110310.7  53090-1600-274       158.68216       11.052976     0.022187400       39.159077    
J164721.48+444209.8  52051-0629-584       251.83948       44.702717     0.025651000       39.155291     J103443.72+110310.7  53090-1600-274       158.68216       11.052976     0.022187400       39.159077    
J164721.48+444209.8  52051-0629-584       251.83948       44.702717     0.025651000       39.155291     J103443.72+110310.7  53090-1600-274       158.68216       11.052976     0.022187400       39.159077    
J164721.48+444209.8  52051-0629-584       251.83948       44.702717     0.025651000       39.155291     J103443.72+110310.7  53090-1600-274       158.68216       11.052976     0.022187400       39.159077    
J164721.48+444209.8  52051-0629-584       251.83948       44.702717     0.025651000       39.155291     J103443.72+110310.7  53090-1600-274       158.68216       11.052976     0.022187400       39.159077    
J112637.74+513423.0  52365-0879-200       171.65725       51.573064     0.026443000       39.802217     J115704.55+434937.6  53089-1369-312       179.26895       43.827100     0.025231900       39.785527    
J112637.74+513423.0  52365-0879-200       171.65725       51.573064     0.026443000       39.802217     J115704.55+434937.6  53089-1369-312       179.26895       43.827100     0.025231900       39.785527    
J112637.74+513423.0  52365-0879-200       171.65725       51.573064     0.026443000       39.802217     J115704.55+434937.6  53089-1369-312       179.26895       43.827100     0.025231900       39.785527    
J112637.74+513423.0  52365-0879-200       171.65725       51.573064     0.026443000       39.802217     J115704.55+434937.6  53089-1369-312       179.26895       43.827100     0.025231900       39.785527    
J112637.74+513423.0  52365-0879-200       171.65725       51.573064     0.026443000       39.802217     J115704.55+434937.6  53089-1369-312       179.26895       43.827100     0.025231900       39.785527    
J080020.99+263648.7  52581-0929-142       120.08744       26.613535     0.026773000       40.883203     J080707.18+361400.5  52378-0892-394       121.77993       36.233472     0.032288800       40.755314    
J080020.99+263648.7  52581-0929-142       120.08744       26.613535     0.026773000       40.883203     J080707.18+361400.5  52378-0892-394       121.77993       36.233472     0.032288800       40.755314    
J080020.99+263648.7  52581-0929-142       120.08744       26.613535     0.026773000       40.883203     J080707.18+361400.5  52378-0892-394       121.77993       36.233472     0.032288800       40.755314    
J080020.99+263648.7  52581-0929-142       120.08744       26.613535     0.026773000       40.883203     J080707.18+361400.5  52378-0892-394       121.77993       36.233472     0.032288800       40.755314    
J080020.99+263648.7  52581-0929-142       120.08744       26.613535     0.026773000       40.883203     J080707.18+361400.5  52378-0892-394       121.77993       36.233472     0.032288800       40.755314    
J133248.70+415218.6  53091-1464-417       203.20292       41.871832     0.027065000       39.752814     J130905.60+113802.9  53116-1696-069       197.27333       11.634127     0.025197300       39.745849    
J133248.70+415218.6  53091-1464-417       203.20292       41.871832     0.027065000       39.752814     J130905.60+113802.9  53116-1696-069       197.27333       11.634127     0.025197300       39.745849    
J133248.70+415218.6  53091-1464-417       203.20292       41.871832     0.027065000       39.752814     J130905.60+113802.9  53116-1696-069       197.27333       11.634127     0.025197300       39.745849    
J133248.70+415218.6  53091-1464-417       203.20292       41.871832     0.027065000       39.752814     J130905.60+113802.9  53116-1696-069       197.27333       11.634127     0.025197300       39.745849    
J133248.70+415218.6  53091-1464-417       203.20292       41.871832     0.027065000       39.752814     J130905.60+113802.9  53116-1696-069       197.27333       11.634127     0.025197300       39.745849    
J114343.76+550019.3  52734-1015-596       175.93235       55.005366     0.027067000       39.592879     J011905.14+003745.0  51789-0398-585       19.771425      0.62916836     0.032652800       39.625535    
J114343.76+550019.3  52734-1015-596       175.93235       55.005366     0.027067000       39.592879     J011905.14+003745.0  51789-0398-585       19.771425      0.62916836     0.032652800       39.625535    
J114343.76+550019.3  52734-1015-596       175.93235       55.005366     0.027067000       39.592879     J011905.14+003745.0  51789-0398-585       19.771425      0.62916836     0.032652800       39.625535    
J114343.76+550019.3  52734-1015-596       175.93235       55.005366     0.027067000       39.592879     J011905.14+003745.0  51789-0398-585       19.771425      0.62916836     0.032652800       39.625535    
J004042.10-110957.6  52162-0655-089       10.175425      -11.166005     0.027287000       38.970053     J030632.00-062521.2  51929-0458-568       46.633329      -6.4225520     0.028027000       38.911187    
J004042.10-110957.6  52162-0655-089       10.175425      -11.166005     0.027287000       38.970053     J030632.00-062521.2  51929-0458-568       46.633329      -6.4225520     0.028027000       38.911187    
J004042.10-110957.6  52162-0655-089       10.175425      -11.166005     0.027287000       38.970053     J030632.00-062521.2  51929-0458-568       46.633329      -6.4225520     0.028027000       38.911187    
J004042.10-110957.6  52162-0655-089       10.175425      -11.166005     0.027287000       38.970053     J030632.00-062521.2  51929-0458-568       46.633329      -6.4225520     0.028027000       38.911187    
J004042.10-110957.6  52162-0655-089       10.175425      -11.166005     0.027287000       38.970053     J030632.00-062521.2  51929-0458-568       46.633329      -6.4225520     0.028027000       38.911187    
J140718.29+125314.0  53178-1704-104       211.82619       12.887215     0.027368000       39.522680     J153838.50+365730.1  52753-1294-041       234.66042       36.958355     0.018607800       39.525546    
J140718.29+125314.0  53178-1704-104       211.82619       12.887215     0.027368000       39.522680     J153838.50+365730.1  52753-1294-041       234.66042       36.958355     0.018607800       39.525546    
J140718.29+125314.0  53178-1704-104       211.82619       12.887215     0.027368000       39.522680     J153838.50+365730.1  52753-1294-041       234.66042       36.958355     0.018607800       39.525546    
J140718.29+125314.0  53178-1704-104       211.82619       12.887215     0.027368000       39.522680     J153838.50+365730.1  52753-1294-041       234.66042       36.958355     0.018607800       39.525546    
J140718.29+125314.0  53178-1704-104       211.82619       12.887215     0.027368000       39.522680     J153838.50+365730.1  52753-1294-041       234.66042       36.958355     0.018607800       39.525546    
J111857.69+580323.6  52398-0951-129       169.74037       58.056554     0.027872000       40.348856     J110326.80+664011.0  51929-0490-502       165.86167       66.669720     0.033329200       40.354127    
J111857.69+580323.6  52398-0951-129       169.74037       58.056554     0.027872000       40.348856     J110326.80+664011.0  51929-0490-502       165.86167       66.669720     0.033329200       40.354127    
J111857.69+580323.6  52398-0951-129       169.74037       58.056554     0.027872000       40.348856     J110326.80+664011.0  51929-0490-502       165.86167       66.669720     0.033329200       40.354127    
