name,ra,dec,z,flux_oiii,petro_abs_mag,central
J102912.17+010650.0,157.30071,1.1139026,0.148652,-15.545166,-20.7956619,1
J103023.27+005808.4,157.59696,0.9689866,0.08878989999999999,-15.393179,-19.9807987,1
J103213.38+011342.2,158.05575,1.2283874,0.127443,-14.558219,-20.4854164,1
J103202.63+005013.8,158.01097,0.83717302,0.0994281,-14.786608,-21.2845917,1
J103148.91+010722.6,157.95378,1.1229525,0.0968642,-14.00159,-20.401006699999996,1
J103121.58+001352.0,157.83991,0.23112179,0.028481799999999998,-15.474279000000001,-18.3159599,1
J103138.91+000726.2,157.91212,0.12395673,0.142713,-15.390258,-21.2602139,1
J103257.39+000224.3,158.23911,0.040075137000000004,0.07219980000000001,-15.288819,-19.7705593,1
J103431.92+001956.6,158.63298999999998,0.33239538,0.0657439,-15.428289000000001,-20.1804466,1
J103443.94+000946.5,158.6831,0.16292412,0.06464600000000001,-14.170251,-19.4770947,1
J104445.20-001509.9,161.18835,-0.25274989999999997,0.150527,-14.752197,-21.6086349,0
J104359.46-002808.4,160.99774,-0.46900392,0.060189599999999996,-15.482816,-20.5920296,0
J104315.16+000123.6,160.81316999999999,0.023208626,0.125959,-15.580298,-21.2287521,1
J104051.27-005519.3,160.21361000000002,-0.92202713,0.039814999999999996,-15.524451999999998,-20.1964607,1
J104259.47-000320.0,160.74781000000002,-0.055543946,0.128171,-15.564276000000001,-20.761175199999997,1
J104305.71-000317.6,160.77378000000002,-0.054898489,0.0954405,-14.986684,-20.42803,1
J103921.34-004718.8,159.8389,-0.78854385,0.107625,-15.249835000000001,-20.4779797,1
J103942.90-004228.6,159.92876,-0.70793702,0.0270933,-14.939648000000002,-18.9117165,1
J104158.46-003005.2,160.49358,-0.50143401,0.13811700000000002,-14.346132999999998,-20.7344837,1
J104143.25-002007.7,160.43021000000002,-0.33546189,0.0741962,-15.635162,-20.1304264,1
J103923.40-003203.3,159.84751,-0.53426204,0.114282,-15.425032,-20.7149448,1
J103853.90-005629.9,159.72458,-0.9416329,0.07553330000000001,-15.468416,-20.8241062,1
J103911.79-002434.2,159.79914,-0.40949106,0.0187789,-14.883642000000002,-19.912839899999998,0
J103724.85-004215.8,159.35356000000002,-0.70439744,0.0827701,-14.543470999999998,-20.3519516,0
J103705.76-004231.4,159.27398,-0.70871552,0.0826895,-15.393763,-19.7157745,1
J103352.22+002409.5,158.46759,0.40264458,0.0723635,-15.476801000000002,-20.3955021,1
J103655.23+010533.4,159.23012,1.0926136999999998,0.11758699999999998,-15.500112,-20.5260448,0
J103644.31+011057.3,159.18463,1.1825958,0.10808,-15.208231,-20.217269899999998,1
J103759.77+005503.4,159.49906000000001,0.91760265,0.059249,-15.389022,-18.6979465,1
J103938.47+003046.6,159.91028,0.51295756,0.0976278,-15.360398000000002,-20.8142986,1
J104218.54+000819.8,160.57725,0.13884605,0.12435,-15.328095000000001,-21.0071487,1
J104110.98+011219.6,160.29577,1.2054326000000002,0.0640323,-15.45911,-20.8294945,1
J104314.72+001158.0,160.81135,0.19943777,0.114949,-15.244904,-20.9954796,1
