name,z,flux,luminous
J080907.58+441641.4,0.053919000000000016,-14.68,40.158517
J125400.21+424220.1,0.053979,-14.86,39.97952
J133032.00-003613.5,0.054020000000000006,-14.07,40.770205
J100723.59+523033.1,0.054087,-15.16,39.681324
J113704.18+482659.1,0.054179,-14.63,40.212857
J140514.87-025901.3,0.054183,-14.44,40.402924
J171447.55+613806.7,0.054198,-15.19,39.653173
J150853.95-001149.0,0.054204,-12.89,41.953273
J130803.89+505226.8,0.054248000000000005,-14.18,40.664005
J012159.82-010224.4,0.054307000000000015,-13.2,41.644986
J210533.44+002829.3,0.054312,-14.51,40.335069
J012108.17+150011.5,0.054373000000000005,-14.11,40.736082
J130040.78+523215.9,0.054457000000000005,-14.35,40.497475
J115850.39+422139.6,0.054608,-14.65,40.199974
J143714.19+612728.9,0.054623000000000005,-14.9,39.950222
J134426.42+441620.1,0.054728,-14.21,40.641956
J104504.24+114508.8,0.054831,-13.9,40.953653
J005125.77-102644.7,0.054857,-15.0,39.854081
J222909.52+001449.4,0.054873000000000005,-14.32,40.534344
J104710.76+025949.4,0.054967,-14.24,40.615889
J093628.90+475451.4,0.055022,-14.75,40.106792
J094814.62+103821.5,0.055046000000000005,-14.48,40.377185
J131651.30+055647.0,0.055052,-14.11,40.747284
J141920.65+043623.4,0.055065,-14.0,40.857497
J121511.09+450945.1,0.05508,-14.82,40.037743
J130547.00+504034.0,0.055124,-14.07,40.78846400000001
J150829.43+371120.8,0.055136,-15.19,39.66866
J104454.18+021903.3,0.055221000000000006,-14.93,39.930051
J085559.87+485351.9,0.055226,-14.0,40.86013300000001
J162131.86+302154.4,0.055299,-14.54,40.321326
J101645.11+421025.5,0.055322,-13.88,40.981701
J093643.14+505249.6,0.055378,-14.34,40.522615
J135244.42+572442.3,0.05563,-14.45,40.416715
J082308.29+421521.0,0.056184000000000005,-13.4,41.475665
J153656.44+312248.1,0.056195,-13.59,41.285842
J152158.52+540151.7,0.056207000000000014,-14.48,40.396035
J094842.67+502931.5,0.056464,-13.45,41.430157
J143710.11-014054.5,0.056557,-15.35,39.531644
J040548.78-061925.9,0.056638,-14.72,40.162937
J221541.37+001836.3,0.056691,-14.59,40.29378300000001
J093240.55+023332.7,0.056793,-14.29,40.595407
J090320.97+045738.1,0.057038,-14.08,40.809298
J093308.88+534748.9,0.057267,-14.46,40.43292
J081653.28+285423.1,0.057329999999999985,-13.79,41.103914
J141403.15+352311.4,0.057576,-13.63,41.267785
J215410.30-073701.4,0.057619,-14.51,40.388461
J223302.68-084349.1,0.058089,-13.67,41.235808
J011009.01-100843.4,0.058116,-14.15,40.756228
J222435.29-001103.8,0.058142999999999986,-14.14,40.766648
J112209.40+011719.5,0.058292,-13.91,40.998963
J164021.03+462843.3,0.058574,-13.87,41.043329
J085737.78+052821.3,0.058623,-14.19,40.724086
J222857.71-005350.9,0.058735,-14.53,40.385813
J092234.80+050839.7,0.058858000000000014,-14.59,40.327706
J112409.01+011857.3,0.05897,-14.89,40.029427
J163115.53+235257.5,0.059001,-13.95,40.96990200000001
J163202.48+320339.4,0.05902,-14.59,40.330194
J093259.60+040506.1,0.059036,-14.43,40.490439
J163332.14+245905.0,0.059338,-13.91,41.015057
J020307.71+140816.9,0.059376,-15.36,39.565637
J115953.40+051330.0,0.059379,-14.89,40.035683
J220233.85-073225.0,0.059404999999999986,-13.78,41.146079
J141000.36+131040.6,0.059605999999999985,-14.36,40.569137
J133804.30+394110.2,0.059638,-14.51,40.419623
J002621.30+000915.0,0.05964700000000001,-14.89,40.039759
J094129.03+492644.3,0.059717999999999986,-14.55,40.380836
J160436.24+435247.3,0.059975,-14.98,39.954725
J081452.61+370130.8,0.059999,-13.95,40.985087
J113035.89+415830.3,0.060001,-14.83,40.105117
J093641.06+101415.9,0.060015,-13.73,41.205329
J215025.66+110020.2,0.060072,-15.12,39.816188
J131056.18+444413.6,0.060156,-13.93,41.007454
J163816.60+215945.4,0.060286,-13.9,41.039409
J081755.94+372213.5,0.060317,-14.54,40.399875
J112151.23+405147.0,0.060341,-14.05,40.890235
J084025.51+033301.8,0.060501,-13.81,41.132634
J221130.16+114108.9,0.060618,-14.66,40.284384
J230649.78+005023.3,0.060677,-14.52,40.425265
J094057.20+032401.2,0.060733,-14.37,40.576101
J222136.14+005052.3,0.060756,-14.65,40.296444
J102925.73+140823.2,0.060818,-14.04,40.907368
