name,ra,dec,z,lum_oiii,petro_abs_mag,central,gz2id
J091256.44+380538.1,138.23518,38.093914,0.045348,40.692784,-19.8681316,1,56671
J150745.00+512710.3,226.9375,51.452851,0.045758,41.220859999999995,-21.3664112,1,6729
J091101.33+571246.9,137.75554,57.213017,0.045821,40.402095,-19.667488100000003,1,76123
J083202.16+461425.7,128.009,46.240482,0.045906,40.353758,-20.3653545,1,29304
J102532.08+102504.1,156.38368,10.417802,0.046023,40.716043205834836,-19.299015,0,123206
J080352.99+263123.4,120.97079,26.523155,0.046319,39.93179787730615,-20.1484814,0,38377
J104809.70+565459.4,162.04041,56.916497,0.046329,39.50199162766346,-19.5481758,0,91380
J005847.48-010549.8,14.69785,-1.097161,0.046538,40.93603233718774,-19.873661,0,60609
J111237.43+120729.5,168.15596000000005,12.124856,0.046741000000000005,40.229940374113895,-20.5725765,0,22927
J123237.49+662452.3,188.15621,66.41453299999999,0.04679,40.730881186851775,-20.2430077,0,36376
J075813.33+440108.3,119.55554,44.018962,0.046891,39.982818021707274,-19.5313187,0,89604
J094838.42+403043.7,147.16009,40.512147,0.046951,40.713966,-20.8373489,1,16439
J125718.83-011920.8,194.32847,-1.32245,0.047006,39.545018,-19.9251595,1,50861
J125042.44-024931.4,192.67685,-2.825401,0.047058,40.646011,-20.7924995,1,15193
J094328.74+524811.6,145.86975,52.803211,0.047143,40.417632,-20.22439,1,34819
J100115.90+544254.5,150.31627,54.715144,0.047325,39.941092825971566,-20.0731201,0,41612
J163629.67+410222.4,249.12363,41.039552,0.047343,39.451434000000006,-19.9487228,1,49627
J143310.55+525830.5,218.29395,52.975145,0.047443,40.04333000806668,-18.9446888,0,190886
J114433.07+613200.7,176.1378,61.533523,0.047693,41.018052000000004,-21.2876682,1,9218
J093449.82+081851.8,143.70758999999995,8.314394,0.047773,39.99955799999999,-19.8733826,1,65957
J124635.25+022208.8,191.64687,2.369098,0.048178,41.087145,-20.2087784,1,46255
J155417.43+323837.8,238.57263,32.643840000000004,0.048313,41.24966,-20.648634,1,23533
J073106.87+392644.7,112.77861,39.445747,0.048466,40.44250200000002,-20.3950138,1,29865
J112526.52+022039.1,171.36049,2.344183,0.04863,40.37553890795701,-20.0131893,0,57469
J131310.13+051942.2,198.29221,5.328379,0.048692,40.40668468180142,-19.1853428,0,176745
J112942.76+555912.6,172.42815,55.986845,0.04871,40.407016999999996,-19.8340302,1,65802
J091913.19+552755.0,139.80495,55.465282,0.048986,42.012097752223625,-19.5990486,0,92258
J082842.73+454433.3,127.17806000000002,45.742576,0.049015,40.48263,-20.1138344,1,51958
J165601.61+211241.2,254.00669,21.211431,0.049105,41.09428,-19.6324596,1,92555
J095306.81+365028.1,148.27838,36.841132,0.049137,39.324865,-19.7483749,1,82617
J101439.56-004951.3,153.66484,-0.83091,0.049154,40.575177000000004,-21.9517689,1,2941
J110456.03+433409.2,166.23345,43.569226,0.049288,40.607625,-19.7207603,1,89372
