name,ra,dec,z,lum_oiii,petro_abs_mag,petro_app_mag,central,gz2id,gz2class
J114347.71+112847.9,175.94879,11.479982000000001,0.12058599999999994,41.66282249539768,-21.3748131,16.601898951872716,1,115179.0,Er
J221312.93-094427.2,333.30388,-9.740881,0.120803,40.58445402689813,-20.395751999999998,17.585171092922785,0,,
J075101.42+291419.2,117.75593,29.238678999999998,0.120827,41.714634284706655,-21.6196327,16.361755693666904,1,87230.0,Er
J121831.28+602958.2,184.63033000000001,60.4995,0.12097100000000001,40.17571504667863,-20.287113199999997,17.697065176206838,1,,
J153357.28-004837.1,233.48865,-0.8103060000000001,0.121023,40.70610499158723,-20.691938399999998,17.293246703251302,1,,
J075821.16+371636.2,119.58816999999999,37.276726000000004,0.121051,40.75631488943421,-21.3145542,16.67117281875534,1,129537.0,Sb?m
J084314.94+384250.6,130.81226999999998,38.714044,0.12109500000000001,41.04664462646184,-20.340120300000002,17.646458062413362,0,,
J132242.48-022522.1,200.67698000000001,-2.422796,0.12115,41.11705662179553,-21.417274499999998,16.57036763346648,1,151020.0,Er
J113035.97-010937.0,172.64986000000005,-1.160276,0.12118,40.36728126418287,-20.363744699999998,17.62447748103931,1,,
J123450.51+040845.4,188.71045,4.145946,0.121252,40.98782016898677,-20.533489199999998,17.456124545075692,1,,
J013258.49+005417.7,23.243713,0.904925,0.121268,40.577939880216974,-20.363277399999998,17.626645476122693,0,,
J114723.19-025004.7,176.84663999999995,-2.834644,0.121296,40.61814933517752,-20.7022095,17.28825426328321,0,,
J092655.26+082249.3,141.73025,8.380359,0.12141800000000001,40.59906137133865,-21.111915600000003,16.88090351803563,1,196995.0,Er
J131738.53+534547.6,199.41056,53.76321,0.121425,40.57911367224354,-21.463090899999997,16.529863293901794,1,111960.0,SBb?t(m)
J121151.67+105233.0,182.96531000000002,10.875841000000001,0.121438,41.59921079414116,-20.7228661,17.27033892967904,1,,
J090315.11+010623.1,135.81294,1.1064209999999999,0.12145999999999996,41.029375129539964,-20.7313652,17.262264263545383,1,,
J112532.97+435354.2,171.38738999999995,43.898379999999996,0.121491,40.95960664029637,-20.6529198,17.34130760690914,1,,
J140240.98+561530.6,210.67075,56.258508,0.121549,41.56003962379653,-20.6203194,17.375026354891734,1,,
J150506.69+023211.8,226.27786,2.536621,0.121549,40.35003962379653,-20.8511868,17.144158954891733,0,,
J020539.98-090750.6,31.416565999999996,-9.130732,0.121557,41.290099328723656,-21.2687397,16.726760270450793,1,,
J073632.76+312215.4,114.13651999999999,31.37094500000001,0.12156199999999999,40.36013664221916,-20.945030199999998,17.05056615033467,0,221221.0,Ei
J094245.45+412643.1,145.68937,41.445299,0.12156199999999999,41.130136642219156,-20.5596657,17.435930650334672,1,,
J130548.34+582102.2,196.45141999999998,58.350605,0.12158900000000004,40.40033810740075,-20.7498035,17.24631323737983,1,,
J135516.55+561244.7,208.81895,56.212429,0.121675,42.210979500027854,-21.378629699999998,16.619143843410026,1,,
J215530.92-072751.6,328.87885,-7.4643380000000015,0.12176300000000001,41.17163531885616,-21.4445915,16.554876241749188,1,,
J081218.84+362620.5,123.0785,36.439029,0.12182,40.76205984650832,-20.7433643,17.2572002066907,0,,
J125148.92+520026.8,192.95383,52.007441,0.121833,41.25215663955375,-20.868846899999998,17.131967678569847,1,,
J145719.31+454122.0,224.33046000000002,45.689434999999996,0.121843,41.1222310884034,-21.2165318,16.784475124502393,1,176148.0,SBb(r)
J115535.36+125254.0,178.89733,12.881675,0.12185,41.27228319880162,-21.6940918,16.307049757834353,0,88995.0,Er(m)
J020056.71+132902.5,30.236310999999997,13.484029999999999,0.12194,40.842952911286176,-20.6439934,17.358878511083592,1,,
J120219.16+595506.9,180.57981999999998,59.918577,0.122018,40.81353291137863,-21.4325161,16.57185448071727,1,138169.0,Sc2t(m)
J135932.36+655050.6,209.88485,65.847386,0.12203599999999999,40.79366670257122,-21.3068981,16.69781819979207,1,140072.0,SBc2m
J130023.22-005429.8,195.09676000000002,-0.908272,0.122146,41.26448386793485,-20.295946100000002,17.71088188759052,1,,
J165435.84+330251.4,253.64935,33.04761,0.122171,41.58466948016748,-22.4137249,15.59358276758008,1,34029.0,Ei
J102039.81+642435.9,155.16588000000004,64.409973,0.12220299999999999,41.65490700596188,-20.345521899999998,17.662399623487218,1,,
