name1,ra1,dec1,z1,lum_oiii1,petro_abs_mag1,petro_app_mag1,central1,gz2id1,gz2class1,name2,ra2,dec2,z2,lum_oiii2,petro_abs_mag2,petro_app_mag2,central2,gz2id2,gz2class2
J162345.89+410456.4,245.94119,41.082333,0.033522,41.292815000000004,-19.8228016,15.242991480650813,1.0,22364.0,Er,J111844.60+034207.4,169.68583,3.7020559,0.040055,40.667742096532564,-19.871057500000006,15.591785172948539,1.0,39974.0,Sc(d)
J162345.89+410456.4,245.94119,41.082333,0.033522,41.292815000000004,-19.8228016,15.242991480650813,1.0,22364.0,Er,J154304.11+511249.0,235.76711,51.213624,0.0361644,40.571994143695505,-19.8790741,15.355700391073437,1.0,24577.0,Er
J162345.89+410456.4,245.94119,41.082333,0.033522,41.292815000000004,-19.8228016,15.242991480650813,1.0,22364.0,Er,J112136.42+114413.5,170.40174,11.737096,0.039816,40.55461833460721,-19.7432766,15.706191237595954,1.0,46441.0,Ei
J162345.89+410456.4,245.94119,41.082333,0.033522,41.292815000000004,-19.8228016,15.242991480650813,1.0,22364.0,Er,J154624.05+431715.6,236.60019,43.287666,0.0342219,40.549947169137184,-19.9112606,15.200524053822464,1.0,22448.0,Sb2t(r)
J162345.89+410456.4,245.94119,41.082333,0.033522,41.292815000000004,-19.8228016,15.242991480650813,1.0,22364.0,Er,J013924.88-092404.3,24.853679,-9.4011872,0.0250613,40.50356108594488,-19.7382698,14.682254457196304,1.0,,
J110501.98+594103.6,166.25823,59.68434300000001,0.033762,40.64916500000001,-20.5280991,14.55356958644645,1.0,7632.0,Sb2t,J111943.96+073529.0,169.93315,7.5913954,0.039289300000000006,40.528859999999995,-20.5992928,14.82042201533998,1.0,12730.0,Ec
J110501.98+594103.6,166.25823,59.68434300000001,0.033762,40.64916500000001,-20.5280991,14.55356958644645,1.0,7632.0,Sb2t,J131915.90+543606.3,199.81623,54.601739,0.0322972,40.51447922026173,-20.4608669,14.522137185485859,1.0,8407.0,Sb(r)
J110501.98+594103.6,166.25823,59.68434300000001,0.033762,40.64916500000001,-20.5280991,14.55356958644645,1.0,7632.0,Sb2t,J150624.23+322551.0,226.60097,32.430827,0.0434203,40.332120663484226,-20.4672394,15.176110470077061,1.0,21575.0,Er
J110501.98+594103.6,166.25823,59.68434300000001,0.033762,40.64916500000001,-20.5280991,14.55356958644645,1.0,7632.0,Sb2t,J111914.85+035751.3,169.81188999999995,3.9642568,0.0398073,40.29235000209793,-20.4895763,14.959403198492662,1.0,16589.0,SBb2m
J110501.98+594103.6,166.25823,59.68434300000001,0.033762,40.64916500000001,-20.5280991,14.55356958644645,1.0,7632.0,Sb2t,J031100.77-082528.3,47.753226,-8.424517800000002,0.0353143,40.290209000000004,-20.5854244,14.596339405924134,1.0,,
J011448.68-002946.1,18.702821,-0.496134,0.033828,40.290904,-21.1377888,13.948226351151913,1.0,3005.0,Sc2t(m),J104000.58+390720.0,160.0024,39.122224,0.0308047,40.316612139049475,-21.2308922,13.646974730005605,1.0,1870.0,SBb2m
